yearID,lgID,teamID,franchID,G,Ghome,W,L,R,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,percentW,OBP,SLG,OPS,WHIP,name
2003,AL,OAK,OAK,162,81,96,66,768,5497,1398,881,317,24,176,556,898,48,14,59,53,643,582,3.63,16,14,48,4325,1336,140,499,1018,107,145,0.98,0.593,0.327,0.416772785,0.744,1.373,Oakland Athletics
2003,AL,SEA,SEA,162,81,93,69,795,5561,1509,1047,290,33,139,586,989,108,37,53,46,637,602,3.76,8,15,38,4323,1340,173,466,1001,65,159,0.98,0.574,0.344,0.410357849,0.754,1.372,Seattle Mariners
2003,AL,ANA,ANA,162,82,77,85,736,5487,1473,1014,276,33,150,476,838,129,61,56,50,743,680,4.28,5,9,39,4294,1444,190,486,980,105,138,0.98,0.475,0.331,0.412793876,0.744,1.528,Anaheim Angels
2003,AL,TEX,TEX,162,81,71,91,826,5664,1506,957,274,36,239,488,1052,65,25,75,42,969,903,5.67,4,3,43,4300,1625,208,603,1009,94,168,0.98,0.438,0.33,0.453566384,0.784,1.81,Texas Rangers
2003,NL,CHN,CHC,162,81,88,74,724,5519,1431,933,302,24,172,492,1158,73,31,50,46,683,619,3.83,13,14,36,4369,1304,143,617,1404,106,157,0.98,0.543,0.323,0.416198587,0.739,1.364,Chicago Cubs
2003,NL,HOU,HOU,162,81,87,75,805,5583,1466,937,308,30,191,557,1021,66,30,81,38,677,622,3.86,1,5,50,4350,1350,161,565,1139,95,149,0.98,0.537,0.335,0.431130217,0.766,1.398,Houston Astros
2003,NL,SLN,STL,162,81,85,77,876,5672,1580,1010,342,32,196,580,952,82,32,73,54,796,748,4.6,9,10,41,4391,1544,210,508,969,77,138,0.98,0.525,0.351,0.453808181,0.805,1.599,St. Louis Cardinals
2003,NL,PIT,PIT,162,81,75,87,753,5581,1492,1009,275,45,163,529,1049,86,37,87,38,801,744,4.64,7,10,44,4333,1527,178,502,926,123,159,0.98,0.463,0.338,0.420354775,0.758,1.612,Pittsburgh Pirates
2003,NL,CIN,CIN,162,81,69,93,694,5509,1349,907,239,21,182,524,1326,80,34,79,32,886,818,5.09,4,5,38,4339,1578,209,590,932,141,152,0.97,0.426,0.317,0.394990016,0.712,1.704,Cincinnati Reds
2003,NL,MIL,MIL,162,81,68,94,714,5548,1423,937,266,24,196,547,1221,99,39,71,40,873,810,5.02,5,3,44,4356,1590,219,575,1034,114,142,0.98,0.42,0.328,0.419069935,0.747,1.696,Milwaukee Brewers
2003,NL,ATL,ATL,162,81,101,61,907,5670,1608,1021,321,31,235,545,933,68,22,49,49,740,663,4.1,4,7,51,4369,1425,147,555,992,121,166,0.98,0.623,0.349,0.475485009,0.824,1.487,Atlanta Braves
